turker,adjective,mean,onestdev,had_negative,logrespdev
T_3436294,aggressive,7550,355,noNog,0.437800488752465
T_7308371,big,10600,480,noNog,0.377294231139182
T_6350278,promising,3220,445,noNog,0.56121963751509
T_1138011,aggressive,3120,70,noNog,0.6190392084046851
T_6997885,great,1030,175,noNog,0.693147180559945
T_1602331,low,590,140,noNog,-1.5404450409458101
T_7332968,important,780,150,noNog,0.287682072449281
T_5611642,usual,5810,345,noNog,-1.2383742310424701
T_5601353,large,5750,440,noNog,0.22314355131421
T_7023781,strong,4490,200,noNog,0.693147180559945
T_2832355,normal,9420,270,noNog,-1.21639532432549
T_2470690,broad,2340,375,noNog,0.38843197555418396
T_7639140,vital,2610,340,noNog,0.0289875368772526
T_776234,relative,8320,40,noNog,-1.38629436111989
T_3329879,inadequate,7840,110,noNog,-2.39789527279827
T_9274484,ordinary,1850,175,noNog,-0.559615787934672
T_9031208,unusual,1410,485,noNog,0.808866231994467
T_6488190,fundamental,9580,40,noNog,0.559615787935423
T_2832355,considerable,8180,160,noNog,0.693147180559945
T_2427075,usual,8510,265,noNog,0.386416913139137
T_65441,usual,8750,100,noNog,2.2204460492503099e-16
T_1562652,extraordinary,4750,265,noNog,1.0403433805458
T_6678082,severe,9060,470,noNog,0.6585116838987309
T_5659439,important,9980,380,noNog,-2.9444389791658394
T_330915,tiny,6910,385,noNog,-4.34380542185467
T_2905681,extraordinary,4120,340,noNog,0.8303483020739431
T_4882119,unexpected,3590,450,noNog,1.14209740060678
T_7476082,slight,8050,370,noNog,-1.8191584434171701
T_1675902,poor,6220,40,noNog,-2.99573227355399
T_9835746,routine,7050,370,noNog,-2.0014800002111204
T_357568,sensitive,10090,170,noNog,-0.331777392316349
T_271359,deep,6710,435,noNog,-0.40891934297618204
T_9813376,conservative,4380,340,noNog,-1.04145387482699
T_9636949,ordinary,6150,185,noNog,-1.3083328196511799
T_9753595,surprising,1030,240,noNog,0.43286408229844103
T_706665,slight,3830,460,noNog,-1.43074612368909
T_5611642,low,5090,445,noNog,-2.69687690050376
T_7072619,valuable,7920,475,noNog,-0.528525200864588
T_7873203,intense,1170,130,noNog,0.570544858467178
T_8742789,slight,10260,495,noNog,-0.9575336904092041
T_2470690,considerable,9200,155,noNog,0.612566693899208
T_706665,great,8210,265,noNog,0.654680899733816
T_1675902,great,1790,225,noNog,0.32047189527638503
T_4046855,narrow,7620,295,noNog,-3.3843902633471203
T_4196701,unusual,4310,280,noNog,-0.38776553100939504
T_8758919,impressive,9280,245,noNog,-0.365459773495053
T_4196701,crucial,6370,265,noNog,0.21936282847597
T_2470690,traditional,7880,410,noNog,-1.4835576665437
T_551321,crucial,3590,320,noNog,-0.0317486983145801
T_9031208,ordinary,5860,400,noNog,-1.04982212449868
T_3985992,weak,8240,470,noNog,-3.8501476017091503
T_6630299,substantial,7620,190,noNog,0.926762031739992
T_6468097,legitimate,5510,455,noNog,-0.154150679827091
T_964358,firm,310,5,noNog,0.693147180559945
T_6084074,little,2340,180,noNog,-1.0986122886691099
T_5296932,large,1490,50,noNog,0.565313809050061
T_2905681,little,4140,350,noNog,-1.76358859225886
T_4091798,broad,6900,365,noNog,-0.19611487892650697
T_1771975,modest,6120,290,noNog,-1.28785428830489
T_4189793,fine,7380,315,noNog,0.287682072449281
T_218756,likely,4650,125,noNog,-0.223143551314209
T_593930,familiar,3430,455,noNog,0.0324352757560264
T_776234,sizable,2480,270,noNog,-0.204794412645786
T_901679,little,2040,435,noNog,-1.00017221585492
T_8181092,wide,1490,405,noNog,0.230523658612421
T_4189793,sizable,10080,60,noNog,0.154150679830116
T_9636949,likely,3400,95,noNog,0.0512932943900508
T_3042668,narrow,2060,340,noNog,-4.2195077051788905
T_3567432,sizable,7230,335,noNog,0.678109303194723
T_6720730,appropriate,5380,20,noNog,2.2204460492503099e-16
T_551321,unusual,4280,430,noNog,1.04282092904125
T_2710047,intense,9200,420,noNog,0.6443570163895129
T_4196701,conservative,7830,60,noNog,-1.0986122886691099
T_7065854,disappointing,1180,135,noNog,-1.90954250488544
T_9558682,crucial,4460,490,noNog,0.4122447950917871
T_7425551,fair,3600,410,noNog,-1.41098697371186
T_5816436,routine,7950,115,noNog,-0.8329091229343041
T_2470690,rare,1930,280,noNog,0.818835395724702
T_964358,slight,8590,80,noNog,-2.07944154167983
T_5659439,sizable,4490,395,noNog,0.938819844935569
T_9289161,weak,1140,450,noNog,-3.80666248977131
T_94744,modest,4360,330,noNog,-2.39789527279827
T_9558682,ordinary,9990,115,noNog,-0.0444517625712881
T_5611642,remarkable,4400,170,noNog,0.162518929501775
T_1058423,unexpected,4360,290,noNog,0.7915872533713231
T_7065854,rare,1800,370,noNog,1.08956245314719
T_6979146,rare,1240,205,noNog,-0.650181144676875
T_8126055,huge,3790,315,noNog,0.263584520874794
T_3742702,traditional,6030,295,noNog,-1.4384801142913899
T_6305655,wide,8930,220,noNog,0.20479441264379103
T_287849,competitive,8600,470,noNog,0.0618754037142877
T_65441,thin,9350,60,noNog,-1.7917594692260501
T_4772629,high,9460,160,noNog,0.75377180237638
T_4196701,significant,9300,170,noNog,0.567984037604273
T_94744,important,9880,50,noNog,-0.9162907318741541
T_2932006,serious,5840,240,noNog,0.650587566142889
T_1891047,typical,6710,135,noNog,-0.405465108107664
T_771176,reasonable,1930,255,noNog,-0.34830669426846506
T_7483361,minor,1190,75,noNog,-1.32175583998107
T_6084074,modest,5080,295,noNog,-1.9980959022257598
T_8758919,surprising,4860,225,noNog,0.412845215405052
T_5826734,striking,7550,290,noNog,0.544727175439072
T_6630299,slight,4910,260,noNog,-1.87180217690259
T_8181092,unexpected,7900,65,noNog,0.450585543388144
T_9230607,large,4750,40,noNog,0.22314355131421
T_6488190,impressive,7970,420,noNog,0.40546510810816494
T_1602331,firm,980,155,noNog,0.350202429433342
T_3464145,hefty,8320,425,noNog,0.162518929501775
T_271359,unexpected,1840,275,noNog,0.8754687373539001
T_3304675,adequate,2930,235,noNog,-0.312091037330735
T_1859424,thin,10180,415,noNog,-1.7797832781824101
T_1828022,remarkable,7690,205,noNog,0.5630940523142479
T_4091798,rare,10640,360,noNog,0.44183275228189706
T_5623478,obvious,6200,160,noNog,-1.16315080980568
T_9777423,severe,6700,410,noNog,-0.482767670970359
T_5696457,relative,10270,405,noNog,-1.13635261665092
T_4978701,healthy,4860,470,noNog,-0.32378707709410304
T_2470690,narrow,9740,105,noNog,-1.18822444735748
T_9040925,striking,7610,70,noNog,0.998528830112706
T_1857101,typical,5350,470,noNog,-1.5475625087151101
T_4286557,little,1320,405,noNog,-3.70130197411213
T_3329879,fundamental,7310,135,noNog,0.693147180559945
T_5854614,moderate,1780,410,noNog,0.0240975515766799
T_7873203,surprising,9240,60,noNog,0.693147180559945
T_9305725,sharp,7010,60,noNog,0.287682072449281
T_1771975,relative,6520,290,noNog,-1.57553636075908
T_8694327,extensive,6970,95,noNog,0.8842024173230891
T_2905681,weak,1720,210,noNog,-0.965080896044586
T_7728724,typical,1330,375,noNog,-1.5448993912980902
T_3376843,serious,7980,185,noNog,0.173271721274719
T_3436294,clear,2790,135,noNog,-0.30010459244998805
T_3985992,extraordinary,3670,270,noNog,0.674455047546283
T_5564614,moderate,10430,385,noNog,-0.817444897238522
T_3376843,sound,3510,115,noNog,0.5020919437951311
T_3294681,clear,4270,425,noNog,0.39363065046354295
T_5816436,valuable,3910,495,noNog,0.46747518289263
T_6453084,good,8170,395,noNog,-0.179793110440217
T_4852781,nice,10200,180,noNog,0.328504066972836
T_4262135,bullish,10540,305,noNog,0.410914712874751
T_3057786,fair,6610,225,noNog,-0.16907633004446
T_357568,narrow,6290,220,noNog,-3.19640296901591
T_1857101,broad,8710,210,noNog,0.322773392261327
T_6350278,broad,7700,195,noNog,0.43078291609145397
T_7072619,vital,7210,225,noNog,0.550046336917349
T_9305725,thin,5970,465,noNog,-1.76001077091166
T_3304675,great,6370,135,noNog,0.8877388299458671
T_5623478,firm,2830,145,noNog,-0.728238500370501
T_3567432,modest,1780,475,noNog,-3.1675825304805203
T_5601353,deep,3430,405,noNog,0.34174929372389895
T_4267653,weak,8070,115,noNog,-1.7491998548107601
T_164446,nice,9260,255,noNog,-0.0606246218166846
T_4968619,huge,2500,40,noNog,0.810930216216329
T_164446,conservative,6370,335,noNog,-4.2046926193928496
T_1602331,sharp,9610,120,noNog,0.650587566142889
T_4301390,bearish,7580,215,noNog,0.29578865998355797
T_3329879,comfortable,3000,65,noNog,0.43078291609145397
T_12027,considerable,4670,445,noNog,0.9318986295414742
T_2510360,clear,8320,250,noNog,0.418710334858185
T_8163155,sound,9130,200,noNog,-0.51082562376599
T_5800342,comfortable,4090,415,noNog,-0.0121213605322592
T_6720730,great,1810,235,noNog,0.506561224982482
T_7624491,low,6330,280,noNog,-2.92673940206757
T_9777423,healthy,9780,415,noNog,-1.88514379383694
T_6177742,liberal,7220,485,noNog,0.7034036807266251
T_1891047,normal,9760,400,noNog,-1.04982212449868
T_4968619,generous,9730,280,noNog,0.27871340247010196
T_6585464,normal,10490,345,noNog,-0.496436886313748
T_9031208,familiar,4820,385,noNog,-0.5151640253639149
T_357568,grand,2020,410,noNog,0.432732234445814
T_1857101,promising,9880,285,noNog,-0.258861633916811
T_9031208,solid,6230,130,noNog,0.7308875085413109
T_6350278,minor,800,55,noNog,-1.01160091167948
T_1891047,sound,1630,410,noNog,-0.41773520069975606
T_8678864,extraordinary,3260,140,noNog,0.887303195000315
T_9898677,major,10910,470,noNog,1.2187566005089099
T_4882119,excessive,2770,205,noNog,1.1227098402480402
T_4394973,important,2990,225,noNog,-0.353505369177769
T_218756,vital,2190,40,noNog,0.40546510810816494
T_510223,remarkable,5580,140,noNog,0.451985123743966
T_8181092,healthy,4640,375,noNog,-2.23804657185335
T_2160787,unusual,5070,305,noNog,0.482223740582029
T_1771975,little,6950,335,noNog,-1.4321038971522502
T_7072619,extensive,4660,275,noNog,0.0531098253182589
T_6453084,sizable,9380,115,noNog,0.0425596144192128
T_5697654,extensive,6920,105,noNog,0.9808292530129759
T_2832355,sound,5590,495,noNog,0.693147180559945
T_9591156,remarkable,4860,200,noNog,0.5877866649021191
T_2832355,high,800,340,noNog,0.693147180559945
T_7624491,sharp,7820,455,noNog,0.40179537922221703
T_1892719,likely,10080,210,noNog,-0.559615787934672
T_8806212,bearish,6530,115,noNog,-2.6654905866834704
T_510223,aggressive,3980,420,noNog,-0.271933715483329
T_792249,serious,7950,365,noNog,0.41002092464502504
T_611790,liberal,4510,415,noNog,0.37197892507912
T_6987667,relative,1490,210,noNog,-0.646627164924143
T_3057786,regular,5670,135,noNog,0.287682072449281
T_4852781,radical,7350,275,noNog,0.693147180559945
T_2932006,outstanding,7240,465,noNog,0.491281027692692
T_771176,comfortable,7540,265,noNog,-0.5045560107518321
T_7332968,big,7460,365,noNog,-0.19611487892650697
T_4189793,weak,5100,205,noNog,-0.717839793149866
T_551321,liberal,3980,430,noNog,0.19004360288671102
T_9558682,conservative,5700,200,noNog,-1.38629436111989
T_1138011,substantial,2330,495,noNog,0.6829948090969481
T_2557497,typical,8750,490,noNog,-2.28238238567192
T_2236218,acceptable,5300,375,noNog,-1.32175583998107
T_9192623,typical,2650,135,noNog,-1.50407739677727
T_7483361,narrow,6850,375,noNog,-2.9311937524170397
T_9305725,tight,5410,165,noNog,-1.19392246847343
T_2034040,clear,5770,265,noNog,0.484055382698944
T_5659439,good,1740,5,noNog,2.2204460492503099e-16
T_8930644,small,1550,490,noNog,-2.28238238567192
T_5697654,valuable,930,175,noNog,0.7487170317167829
T_9019583,bearish,9980,420,noNog,-1.2527629684963701
T_2818415,striking,4070,385,noNog,0.801360765199537
T_5854614,unusual,8000,380,noNog,0.967584026262306
T_1771975,legitimate,4220,280,noNog,-0.559615787934672
T_9915731,high,8090,420,noNog,0.77318988823502
