turker,adjective,mean,onestdev,had_negative,logrespdev
T_4706686,significant,2440,330,noNog,0.5288441292688479
T_9019583,inadequate,1310,400,noNog,-2.30258509299404
T_1828022,adequate,10650,425,noNog,-0.19415601444060002
T_8246321,normal,8160,195,noNog,-0.5280674301998011
T_2932006,promising,9990,150,noNog,0.33647223662121306
T_2710047,regular,10260,325,noNog,-1.28401551199975
T_8742789,great,5300,475,noNog,0.45675840249504795
T_5623478,great,6990,410,noNog,-0.27958486221864504
T_6720730,sharp,5050,220,noNog,0.464305608131669
T_510223,sharp,5820,30,noNog,0.693147180559945
T_357568,high,8430,260,noNog,0.594176463001739
T_5896210,legitimate,6280,445,noNog,-2.4091948280527298
T_8758919,regular,6660,300,noNog,-0.223143551314209
T_9230607,stable,3110,110,noNog,0.24116205681903102
T_1892719,familiar,2710,260,noNog,-0.16705408466298402
T_2160787,acceptable,4770,215,noNog,-0.428995605517858
T_6605231,tiny,1620,485,noNog,-3.88156379794493
T_2373018,outstanding,7910,325,noNog,1.2101077928946
T_4211578,substantial,2880,410,noNog,0.630233355150545
T_9031208,crucial,8670,50,noNog,0.955511445027437
T_3376843,high,7680,90,noNog,0.664976303590963
T_271359,deep,6710,435,noNog,-0.40891934297618204
T_2160787,conventional,1720,55,noNog,-0.0953101798042246
T_2087193,minor,8740,175,noNog,-2.1690537003670203
T_8181092,excessive,6310,465,noNog,0.649184057136919
T_7476082,positive,3520,300,noNog,-1.7917594692260501
T_7065854,light,7180,85,noNog,-1.44691898293657
T_6605231,extraordinary,4590,485,noNog,0.93062055743024
T_271359,bearish,2250,345,noNog,-1.59504917498021
T_7023781,strong,4490,200,noNog,0.693147180559945
T_8246321,light,3370,430,noNog,-2.05645202345659
T_8246321,sensitive,9920,445,noNog,-0.9051174312771959
T_1138011,small,750,145,noNog,-4.2835865618588596
T_2710047,impressive,2370,20,noNog,0.40546510810816494
T_2087193,broad,6000,440,noNog,0.127833371506685
T_271359,reasonable,1410,225,noNog,-0.9162907318741541
