turker,adjective,mean,onestdev,had_negative,logrespdev
T_2932006,broad,4660,445,noNog,-0.269128664556327
T_9192623,broad,8740,355,noNog,0.693147180559945
T_4882119,bullish,1980,150,noNog,0.7576857016959541
T_6488190,bullish,4530,255,noNog,0.0571584138382821
T_2710047,bullish,7950,240,noNog,-0.47000362924573497
T_3057786,bullish,7490,480,noNog,-0.437213806423261
T_9986200,bullish,8890,365,noNog,-0.163325056103477
T_4301390,bullish,5380,285,noNog,0.30075415401731603
T_5296932,bullish,4500,460,noNog,0.547115625173959
T_5601353,bullish,5380,240,noNog,0.287682072449281
T_6678082,bullish,2970,280,noNog,0.259613231096703
T_3464145,bullish,9430,370,noNog,0.0779615414687121
T_1058423,bullish,8380,15,noNog,0.287682072449281
T_4262135,bullish,10540,305,noNog,0.410914712874751
T_271359,bullish,2890,300,noNog,-1.00330210886288
T_3254798,bullish,5030,490,noNog,0.330624266736004
T_9777423,bullish,9690,345,noNog,-3.35863776724198
T_8181092,bullish,3300,180,noNog,0.510825623767991
T_9019583,bullish,9130,10,noNog,2.2204460492503099e-16
T_9230607,bullish,1850,175,noNog,0.35667494393773297
T_6853480,bullish,1160,355,noNog,-0.391478866133674
T_7873203,bullish,7310,310,noNog,0.6435502394197261
T_771176,bullish,5000,105,noNog,0.510825623767991
T_5800342,bullish,4670,315,noNog,-0.8850381883710501
T_7270876,bullish,340,115,noNog,-0.650587566140732
T_7425551,bullish,6330,110,noNog,-0.451985123742486
T_5478886,bullish,10600,415,noNog,0.36865113498536495
T_9753595,bullish,3560,50,noNog,1.02961941718116
T_6878955,bullish,4480,460,noNog,0.448024722524183
T_6305655,bullish,8100,335,noNog,-0.8724881092162259
T_8806212,bullish,3060,460,noNog,-0.305226382102867
T_3329879,bullish,8700,115,noNog,0.553385238183287
T_2326307,clear,5110,320,noNog,-1.79802908224165
T_6720730,clear,6770,55,noNog,-0.606135803569482
T_2034040,clear,5770,265,noNog,0.484055382698944
T_7624491,clear,3880,400,noNog,-0.59783700075562
T_1675902,clear,4930,90,noNog,0.6359887667205849
T_510223,clear,4040,190,noNog,-0.171850256926534
T_2427075,clear,7480,70,noNog,0.538996500735187
T_8742789,clear,7530,190,noNog,-0.998528830109984
T_2510360,clear,8320,250,noNog,0.418710334858185
T_6997885,clear,3420,5,noNog,0.693147180559945
T_1704411,clear,7480,40,noNog,0.559615787935423
T_9818990,clear,2310,190,noNog,0.7191226669644879
T_216082,clear,1900,440,noNog,0.279695720821193
T_7013858,clear,4490,110,noNog,2.2204460492503099e-16
T_65441,clear,4090,70,noNog,-0.154150679827091
T_7476082,clear,9320,340,noNog,-0.53062825106157
T_3294681,clear,4270,425,noNog,0.39363065046354295
T_1828022,clear,4400,310,noNog,-0.0327898228228573
T_8820227,clear,1600,325,noNog,0.0741079721508649
T_706665,clear,8080,315,noNog,0.287682072449281
T_6821639,clear,2990,75,noNog,-0.223143551314209
T_7329991,clear,4820,320,noNog,-0.133531392624522
T_3020286,clear,4450,125,noNog,-0.9162907318741541
T_1014965,clear,1980,480,noNog,-0.405465108107664
T_8930644,clear,8170,185,noNog,-0.0273989741880864
T_8765075,clear,4150,450,noNog,-0.25131442828062
T_5623478,clear,9020,115,noNog,-0.496436886313748
T_3436294,clear,2790,135,noNog,-0.30010459244998805
T_9305725,clear,6830,130,noNog,-0.0800427076734529
T_9898677,clear,4780,325,noNog,-0.0155041865363557
T_1138011,clear,6750,90,noNog,0.664976303590963
T_9591156,clear,6140,375,noNog,0.40101075775655204
T_1859424,clear,9150,455,noNog,0.624938930532412
T_4211578,clear,7720,190,noNog,-0.0540672212698866
T_5611642,clear,4480,190,noNog,-0.111225635110518
T_6630299,clear,2020,340,noNog,-0.39086630868744604
T_4525111,clear,7830,380,noNog,-0.34174929372272306
T_162563,clear,8930,150,noNog,-0.223143551314209
T_3304675,clear,1930,155,noNog,0.06252035697921299
T_4882119,comfortable,8730,220,noNog,-0.257829109302452
T_4262135,comfortable,4930,410,noNog,-0.880358722649209
T_271359,comfortable,7330,95,noNog,-0.0540672212698866
T_3254798,comfortable,4900,440,noNog,-0.488352767914524
T_9777423,comfortable,870,290,noNog,-1.30043307051514
T_4978701,comfortable,4920,50,noNog,0.470003629245736
T_8181092,comfortable,1220,320,noNog,-1.38629436111989
T_9019583,comfortable,10170,415,noNog,-1.1607440697757299
T_6445353,comfortable,9000,315,noNog,0.7985076962167719
T_6305655,comfortable,9510,375,noNog,0.113328685307003
T_8806212,comfortable,9000,405,noNog,-0.0428817274832913
T_3329879,comfortable,3000,65,noNog,0.43078291609145397
T_3057786,comfortable,7850,405,noNog,-0.993251773011283
T_6678082,comfortable,8170,125,noNog,-0.39749693845898704
T_5800342,comfortable,4090,415,noNog,-0.0121213605322592
T_5296932,comfortable,6780,405,noNog,-0.0796312696925016
T_6878955,comfortable,3880,335,noNog,-0.420502985473386
T_9753595,comfortable,3910,125,noNog,0.6523251860396899
T_5478886,comfortable,3190,400,noNog,-1.38629436111989
T_7425551,comfortable,5760,310,noNog,-0.7949298748694591
T_7270876,comfortable,5610,180,noNog,-1.28093384546126
T_4301390,comfortable,9840,260,noNog,-0.648026745279328
T_7873203,comfortable,4960,435,noNog,0.21622310846574697
T_6853480,comfortable,4460,435,noNog,0.21622310846574697
T_2710047,comfortable,6160,280,noNog,-1.94591014905631
T_3464145,comfortable,4330,120,noNog,-0.980829253011726
T_771176,comfortable,7540,265,noNog,-0.5045560107518321
T_914035,competitive,10050,95,noNog,0.45675840249504795
T_287849,competitive,8600,470,noNog,0.0618754037142877
T_4189793,competitive,8700,190,noNog,0.45675840249504795
T_901679,competitive,7600,245,noNog,0.202524264112808
T_5696457,competitive,3530,250,noNog,0.0769610411361286
T_4394973,competitive,6420,385,noNog,0.546543706366491
T_776234,competitive,5110,80,noNog,0.11778303565638401
T_7308371,competitive,8420,490,noNog,0.168622712437689
T_4286557,competitive,1810,70,noNog,0.251314428277573
T_7332968,competitive,7940,305,noNog,-0.15963014559240302
T_9289161,competitive,5160,40,noNog,0.693147180559945
T_2257827,competitive,2570,10,noNog,0.693147180559945
T_5826734,competitive,7010,115,noNog,-0.8329091229343041
T_8894480,competitive,5970,365,noNog,0.497032301634655
T_1771975,competitive,6100,495,noNog,0.346522572473714
T_6084074,competitive,7810,75,noNog,0.8754687373539001
T_3757827,competitive,7800,410,noNog,-0.0246926125899212
T_3985992,competitive,2360,380,noNog,0.5212969236357861
T_4267653,competitive,9970,335,noNog,-0.9465960813682909
T_6987667,competitive,7680,190,noNog,-0.45953232937910604
T_9040925,competitive,2310,100,noNog,0.33647223662121306
T_5429916,competitive,5750,360,noNog,-1.28093384546126
T_3567432,competitive,3830,495,noNog,0.693147180559945
T_5896210,competitive,9230,130,noNog,0.268263986592915
T_2032567,competitive,9550,160,noNog,-0.0645385211375709
T_6605231,competitive,2020,180,noNog,0.679160938584079
T_6468097,competitive,6990,410,noNog,0.21825356601648896
T_330915,competitive,8730,75,noNog,0.470003629245736
T_8678864,competitive,1620,365,noNog,0.463130749957715
T_2818415,competitive,5780,315,noNog,-0.41023838686091707
T_6453084,competitive,10120,110,noNog,-0.0953101798042246
T_94744,competitive,4490,365,noNog,0.334513372134017
T_9558682,conservative,5700,200,noNog,-1.38629436111989
T_5816436,conservative,9430,485,noNog,-0.585726931938812
T_2236218,conservative,2830,385,noNog,-2.14658084451846
T_164446,conservative,6370,335,noNog,-4.2046926193928496
T_4706686,conservative,8670,255,noNog,-1.1592369104847902
T_9031208,conservative,4730,430,noNog,-1.8152899666408202
T_7072619,conservative,3220,270,noNog,-1.21639532432549
T_9778010,conservative,9230,260,noNog,-0.7731898882344809
T_4852781,conservative,5890,450,noNog,-0.37267528528501204
T_1317670,conservative,4630,290,noNog,-1.42138568093045
T_7639140,conservative,6470,385,noNog,-2.04122032886064
T_8694327,conservative,3120,490,noNog,-3.89182029811092
T_611790,conservative,8940,175,noNog,-0.9162907318741541
T_5854614,conservative,990,75,noNog,-2.01490302054476
T_5061892,conservative,2100,245,noNog,-0.8960880245569351
T_593930,conservative,5570,275,noNog,-2.6210388241122002
T_218756,conservative,2040,460,noNog,-1.05605267424794
T_1463251,conservative,2850,170,noNog,-0.53062825106157
T_9924870,conservative,8900,295,noNog,-2.6912430827857
T_5564614,conservative,4390,65,noNog,-1.1786549963426498
T_9835746,conservative,7860,20,noNog,-0.693147180559945
T_1231887,conservative,4300,50,noNog,-0.9162907318741541
T_5895235,conservative,7440,455,noNog,-1.4198170531595302
T_4455068,conservative,5390,280,noNog,-3.3322045101747997
T_9274484,conservative,820,15,noNog,-0.405465108107664
T_8633720,conservative,6820,70,noNog,-0.154150679827091
T_3950237,conservative,6410,100,noNog,-0.9162907318741541
T_551321,conservative,9890,165,noNog,-0.500775287911839
T_1892719,conservative,6910,455,noNog,-0.639658495608063
T_6177742,conservative,5250,70,noNog,-0.336472236620813
T_214669,conservative,5780,5,noNog,-0.9162907318741541
T_9636949,conservative,880,280,noNog,-1.02961941718076
T_9813376,conservative,4380,340,noNog,-1.04145387482699
T_4196701,conservative,7830,60,noNog,-1.0986122886691099
T_2160787,conservative,9410,105,noNog,-1.39586381213623
T_4031111,conservative,7660,350,noNog,-2.1690537003670203
T_3155096,conservative,5670,65,noNog,-1.87180217690259
T_4046855,considerable,4280,305,noNog,0.0480092191874546
T_7483361,considerable,8070,240,noNog,-0.0425596144191436
T_2832355,considerable,8180,160,noNog,0.693147180559945
T_6979146,considerable,3940,30,noNog,0.693147180559945
T_1857101,considerable,8710,465,noNog,0.529995539872065
T_8126055,considerable,3480,310,noNog,0.6519891080666059
T_12027,considerable,4670,445,noNog,0.9318986295414742
T_143993,considerable,4130,435,noNog,0.35437344694916295
T_4091798,considerable,6430,160,noNog,0.060624621816435
T_1752881,considerable,3320,415,noNog,0.334749583312784
T_6350278,considerable,6540,420,noNog,0.0909717782074661
T_3994019,considerable,5590,420,noNog,0.194156014444487
T_3376843,considerable,1730,30,noNog,0.693147180559945
T_7728724,considerable,6060,355,noNog,0.589350386879161
T_2470690,considerable,9200,155,noNog,0.612566693899208
T_2557497,considerable,5050,90,noNog,0.105360515656827
T_3042668,considerable,8030,445,noNog,0.247562078658847
T_9915731,considerable,8770,75,noNog,0.550046336917349
